BÁO CÁO LV SHOP
Từ ngày,2026-05-01,Đến ngày,2026-05-04

KPI
Số đơn,9
Doanh thu,158450000.0
Lợi nhuận ước tính,164500000.0
Trung bình / đơn,17605555.555555556

DOANH THU THEO KỲ
Kỳ,Doanh thu
2026-05-01,7000000.0
2026-05-02,19000000.0
2026-05-03,67980000.0
2026-05-04,64470000.0

TỶ LỆ THANH TOÁN
Phương thức,Số đơn,Doanh thu
,4,54000000.0
cash,2,39980000.0
qr,3,64470000.0

TOP SẢN PHẨM
Sản phẩm,Số lượng,Doanh thu
,8,146000000.0
Samsung Galaxy Z Flip5,2,37980000.0
iPhone 15 Pro Max,1,34990000.0
Xiaomi 14,1,20990000.0
realme 12 Pro Plus,1,10990000.0

TOP KHÁCH HÀNG
Khách hàng,Số đơn,Tổng chi
Luong Van Ngoc,3,58970000.0
Bien Thuy,1,34990000.0
Khách 2,2,30000000.0
Khách 3,1,17000000.0
Bo Doi,1,10490000.0
Khách 7,1,7000000.0

TOP MÃ GIẢM GIÁ
Mã,Lượt dùng,Tổng giảm
FB1,1,500000.0
FB1_COPY,0,0.0
